# z gammaA
2.504374941746807511e-06 8.508003813629348662e+54
2.539231816696648154e-06 8.276022677868344613e+54
2.574573843334846493e-06 8.050366791245540528e+54
2.610407774193321782e-06 7.830863688114673637e+54
2.646740455788387673e-06 7.617345605316038027e+54
2.683578829928863305e-06 7.409649353957458577e+54
2.720929935042391381e-06 7.207616194691306888e+54
2.758800907520217317e-06 7.011091716392224313e+54
2.797198983080686556e-06 6.819925718142840139e+54
2.836131498151715837e-06 6.633972094437334572e+54
2.875605891272509481e-06 6.453088723515008775e+54
2.915629704514786234e-06 6.277137358738630742e+54
2.956210584923781782e-06 6.105983522934446452e+54
2.997356285979315794e-06 5.939496405613155607e+54
3.039074669077186047e-06 5.777548762993280764e+54
3.081373705031189086e-06 5.620016820750524895e+54
3.124261475596040147e-06 5.466780179418763646e+54
3.167746175011494311e-06 5.317721722370440536e+54
3.211836111567957317e-06 5.172727526305938240e+54
3.256539709193885861e-06 5.031686774183602687e+54
3.301865509065284456e-06 4.894491670523835560e+54
3.347822171237604187e-06 4.761037359022481779e+54
3.394418476300351274e-06 4.631221842410648194e+54
3.441663327054728566e-06 4.504945904499599899e+54
3.489565750214626364e-06 4.382113034351216740e+54
3.538134898131286525e-06 4.262629352516032708e+54
3.587380050541974880e-06 4.146403539282470704e+54
3.637310616342987213e-06 4.033346764882472247e+54
3.687936135387336927e-06 3.923372621600142701e+54
3.739266280307462799e-06 3.816397057731540755e+54
3.791310858363303676e-06 3.712338313345123079e+54
3.844079813316089513e-06 3.611116857793810168e+54
3.897583227328260840e-06 3.512655328930709878e+54
3.951831322889701301e-06 3.416878473982507457e+54
4.006834464770992245e-06 3.323713092034581233e+54
4.062603162003602541e-06 3.233087978084795510e+54
4.119148069887897065e-06 3.144933868622300198e+54
4.176479992028833006e-06 3.059183388690594144e+54
4.234609882400257089e-06 2.975771000393589880e+54
4.293548847437659709e-06 2.894632952806113515e+54
4.353308148160338905e-06 2.815707233249762465e+54
4.413899202322814065e-06 2.738933519897677417e+54
4.475333586596461779e-06 2.664253135671229324e+54
4.537623038781288267e-06 2.591609003394081385e+54
4.600779460048621903e-06 2.520945602168834519e+54
4.664814917214973159e-06 2.452208924943197587e+54
4.729741645047547332e-06 2.385346437233148949e+54
4.795572048601850491e-06 2.320307036971562908e+54
4.862318705591826579e-06 2.257041015451614351e+54
4.929994368792988141e-06 2.195500019335103534e+54
4.998611968478990451e-06 2.135637013696679327e+54
5.068184614892118300e-06 2.077406246075700487e+54
5.138725600748165711e-06 2.020763211508267696e+54
5.210248403776169359e-06 1.965664618512699563e+54
5.282766689293496310e-06 1.912068356002460136e+54
5.356294312816773098e-06 1.859933461101237917e+54
5.430845322709153381e-06 1.809220087835603227e+54
5.506433962864434048e-06 1.759889476681264923e+54
5.583074675428522117e-06 1.711903924939731771e+54
5.660782103558790238e-06 1.665226757922647981e+54
5.739571094221832457e-06 1.619822300921848886e+54
5.819456701030158915e-06 1.575655851943675847e+54
5.900454187118377539e-06 1.532693655186729867e+54
5.982579028059403964e-06 1.490902875242778487e+54
6.065846914821262122e-06 1.450251572001118890e+54
6.150273756765034541e-06 1.410708676237189977e+54
6.235875684684547648e-06 1.372243965866800746e+54
6.322669053888357901e-06 1.334828042847812391e+54
6.410670447324635049e-06 1.298432310711626586e+54
6.499896678749540549e-06 1.263028952707300269e+54
6.590364795939703351e-06 1.228590910541593536e+54
6.682092083949410558e-06 1.195091863698692631e+54
6.775096068413128749e-06 1.162506209323807865e+54
6.869394518893995474e-06 1.130809042655268271e+54
6.965005452278912805e-06 1.099976137990158407e+54
7.061947136220896859e-06 1.069983930168954347e+54
7.160238092629342276e-06 1.040809496564999698e+54
7.259897101208857266e-06 1.012430539565061980e+54
7.360943203047347687e-06 9.848253695275808013e+53
7.463395704254125199e-06 9.579728882055593556e+53
7.567274179648417263e-06 9.318525726215132129e+53
7.672598476499598673e-06 9.064444593819810741e+53
7.779388718319022627e-06 8.817291294198483825e+53
7.887665308705104776e-06 8.576876931525640461e+53
7.997448935241440842e-06 8.343017760451533193e+53
8.108760573449675602e-06 8.115535045667609471e+53
8.221621490796878441e-06 7.894254925302158016e+53
8.336053250759219494e-06 7.679008278039573239e+53
8.452077716941671929e-06 7.469630593863819144e+53
8.569717057255595390e-06 7.265961848325206615e+53
8.688993748153915975e-06 7.067846380236424117e+53
8.809930578925786565e-06 6.875132772702439791e+53
8.932550656050580124e-06 6.687673737394967001e+53
9.056877407612749084e-06 6.505326001981943761e+53
9.182934587778030246e-06 6.327950200626493525e+53
9.310746281331984530e-06 6.155410767471567702e+53
9.440336908281684732e-06 5.987575833028844579e+53
9.571731228521455898e-06 5.824317123392738372e+53
9.704954346563574670e-06 5.665509862202424039e+53
9.840031716334781388e-06 5.511032675277008073e+53
9.976989146039580742e-06 5.360767497850955093e+53
1.011585280309120850e-05 5.214599484338804338e+53
1.025664921911124857e-05 5.072416920560312290e+53
1.039940529499882194e-05 4.934111138358861570e+53
1.054414830607033855e-05 4.799576432547895493e+53
1.069090590727078451e-05 4.668709980121937723e+53
1.083970613845754410e-05 4.541411761670371142e+53
1.099057742975775613e-05 4.417584484934034317e+53
1.114354860700024812e-05 4.297133510446076405e+53
1.129864889722306480e-05 4.179966779200356457e+53
1.145590793425765478e-05 4.065994742292015539e+53
1.161535576439078441e-05 3.955130292476498733e+53
1.177702285210524591e-05 3.847288697594702658e+53
1.194094008590048488e-05 3.742387535813381391e+53
1.210713878419422271e-05 3.640346632631272910e+53
1.227565070130622935e-05 3.541087999602858213e+53
1.244650803352538149e-05 3.444535774732868569e+53
1.261974342526116306e-05 3.350616164496036228e+53
1.279538997528077880e-05 3.259257387437720449e+53
1.297348124303309040e-05 3.170389619312347372e+53
1.315405125506055764e-05 3.083944939717714595e+53
1.333713451150040938e-05 2.999857280184390791e+53
1.352276599267646066e-05 2.918062373680432205e+53
1.371098116578222462e-05 2.838497705493139797e+53
1.390181599165778262e-05 2.761102465449733922e+53
1.409530693166010062e-05 2.685817501441202010e+53
1.429149095462987010e-05 2.612585274212961777e+53
1.449040554395441268e-05 2.541349813388596291e+53
1.469208870472979936e-05 2.472056674692311943e+53
1.489657897102173727e-05 2.404652898338096190e+53
1.510391541322844250e-05 2.339086968553127887e+53
1.531413764554505355e-05 2.275308774205158466e+53
1.552728583353289737e-05 2.213269570503112227e+53
1.574340070179311825e-05 2.152921941742275224e+53
1.596252354174812555e-05 2.094219765064984148e+53
1.618469621953032327e-05 2.037118175209715106e+53
1.640996118398165858e-05 1.981573530221051118e+53
1.663836147476349138e-05 1.927543378094881238e+53
1.686994073058036938e-05 1.874986424332789933e+53
1.710474319751722097e-05 1.823862500381379885e+53
1.734281373749364187e-05 1.774132532931882429e+53
1.758419783683479450e-05 1.725758514057092730e+53
1.782894161496267419e-05 1.678703472162324392e+53
1.807709183320723383e-05 1.632931443728646694e+53
1.832869590374129064e-05 1.588407445826365860e+53
1.858380189863862532e-05 1.545097449378160702e+53
1.884245855905930219e-05 1.502968353151032711e+53
1.910471530456186475e-05 1.461987958457577286e+53
1.937062224254573368e-05 1.422124944546933529e+53
1.964023017782481030e-05 1.383348844666784256e+53
